year,county,cause,sex,age_code,N
108,0110,07,1,21,6
108,0110,07,1,22,2
108,0110,07,1,23,9
108,0110,07,1,24,4
108,0110,07,2,14,1
108,0110,07,2,18,4
108,0110,07,2,19,1
108,0110,07,2,20,5
108,0110,07,2,22,2
108,0110,07,2,23,6
108,0110,07,2,24,2
108,0110,08,1,12,1
108,0110,08,1,14,1
108,0110,08,1,15,1
108,0110,08,1,16,1
108,0110,08,1,17,3
108,0110,08,1,18,9
108,0110,08,1,19,5
108,0110,08,1,20,1
108,0110,08,1,21,3
108,0110,08,1,22,4
108,0110,08,1,23,2
108,0110,08,1,24,5
108,0110,08,2,14,1
108,0110,08,2,18,1
108,0110,08,2,19,3
108,0110,08,2,20,4
108,0110,08,2,21,4
108,0110,08,2,22,4
108,0110,08,2,23,9
108,0110,08,2,24,2
108,0110,09,2,18,1
108,0110,09,2,22,1
108,0110,10,1,18,3
108,0110,10,1,19,1
108,0110,10,1,20,3
108,0110,10,1,22,2
108,0110,10,1,23,1
108,0110,10,1,24,2
108,0110,10,2,18,6
108,0110,10,2,20,2
108,0110,10,2,21,2
108,0110,10,2,22,2
108,0110,10,2,23,1
108,0110,12,1,21,1
108,0110,12,1,22,1
108,0110,12,1,25,1
108,0110,13,1,15,1
108,0110,13,1,16,4
108,0110,13,1,17,7
108,0110,13,1,18,4
108,0110,13,1,19,8
108,0110,13,1,20,7
108,0110,13,1,21,5
108,0110,13,1,22,6
108,0110,13,1,23,8
108,0110,13,1,24,2
108,0110,13,2,16,6
108,0110,13,2,17,2
108,0110,13,2,18,1
108,0110,13,2,19,6
108,0110,13,2,20,2
108,0110,13,2,21,8
108,0110,13,2,22,4
108,0110,13,2,23,7
108,0110,13,2,24,3
108,0110,13,2,25,1
108,0110,14,1,17,1
108,0110,15,1,13,1
108,0110,17,1,19,1
108,0110,18,1,13,1
108,0110,18,2,12,1
108,0110,18,2,18,1
108,0110,18,2,21,1
108,0110,18,2,22,1
108,0110,19,2,13,1
108,0110,19,2,14,1
108,0110,19,2,15,3
108,0110,19,2,17,4
108,0110,19,2,18,6
108,0110,19,2,19,1
108,0110,19,2,20,4
108,0110,19,2,21,5
108,0110,19,2,22,6
108,0110,19,2,23,2
108,0110,20,2,16,1
108,0110,20,2,17,2
108,0110,20,2,19,2
108,0110,20,2,22,1
108,0110,20,2,23,2
108,0110,21,2,17,1
108,0110,21,2,18,1
108,0110,21,2,19,1
108,0110,21,2,20,1
108,0110,21,2,21,2
108,0110,21,2,23,1
108,0110,22,2,15,1
108,0110,22,2,16,1
108,0110,22,2,17,1
108,0110,22,2,19,1
108,0110,22,2,22,1
108,0110,23,1,16,1
108,0110,23,1,18,1
108,0110,23,1,19,2
108,0110,23,1,21,3
108,0110,23,1,22,5
108,0110,23,1,23,1
108,0110,23,1,24,7
108,0110,25,1,16,1
108,0110,25,1,17,1
108,0110,25,1,18,1
108,0110,25,1,19,1
108,0110,25,1,23,2
108,0110,25,1,24,1
108,0110,26,1,13,1
108,0110,26,1,17,1
108,0110,26,1,21,1
108,0110,26,1,22,2
108,0110,26,1,23,3
108,0110,26,1,24,1
108,0110,26,2,21,1
108,0110,26,2,22,1
108,0110,26,2,23,2
108,0110,27,1,15,1
108,0110,27,1,18,1
108,0110,27,2,16,1
108,0110,27,2,17,1
108,0110,27,2,22,2
108,0110,27,2,25,1
108,0110,29,1,18,1
108,0110,31,1,18,2
108,0110,31,1,19,1
108,0110,31,1,22,1
108,0110,31,1,23,2
108,0110,31,1,24,1
108,0110,31,2,14,1
108,0110,31,2,16,1
108,0110,31,2,17,1
108,0110,31,2,19,1
108,0110,31,2,20,2
108,0110,31,2,21,2
108,0110,31,2,22,2
108,0110,32,1,05,2
108,0110,32,1,14,1
108,0110,32,1,17,1
108,0110,32,1,18,1
108,0110,32,1,19,1
108,0110,32,1,21,1
108,0110,32,1,22,1
108,0110,32,1,23,2
108,0110,32,2,17,1
108,0110,32,2,20,1
108,0110,32,2,21,1
108,0110,32,2,22,1
108,0110,32,2,23,1
108,0110,32,2,24,1
108,0110,33,1,17,1
108,0110,33,1,18,1
108,0110,33,1,20,2
108,0110,33,1,21,3
108,0110,33,1,22,3
108,0110,33,1,24,1
108,0110,33,1,25,1
108,0110,33,2,17,1
108,0110,33,2,18,1
108,0110,33,2,19,3
108,0110,33,2,20,1
108,0110,33,2,21,4
108,0110,33,2,22,2
108,0110,33,2,23,3
108,0111,01,1,14,1
108,0111,01,1,16,5
108,0111,01,1,17,3
108,0111,01,1,18,4
108,0111,01,1,19,2
108,0111,01,1,20,1
108,0111,01,2,17,2
108,0111,01,2,19,1
108,0111,01,2,23,1
108,0111,03,1,13,1
108,0111,03,1,14,1
108,0111,03,1,16,2
108,0111,03,1,17,2
108,0111,03,1,18,2
108,0111,03,2,21,1
108,0111,04,1,16,1
108,0111,04,1,17,3
108,0111,04,1,18,2
108,0111,04,1,19,2
108,0111,04,1,20,1
108,0111,04,1,21,2
108,0111,04,1,22,2
108,0111,04,2,22,1
108,0111,05,1,16,1
108,0111,05,1,17,2
108,0111,05,1,18,1
108,0111,05,1,19,3
108,0111,05,1,20,2
108,0111,05,1,21,6
108,0111,05,1,22,3
108,0111,05,1,24,2
108,0111,05,1,25,1
108,0111,05,2,14,1
108,0111,05,2,18,1
108,0111,05,2,22,3
108,0111,05,2,23,1
108,0111,07,1,13,1
108,0111,07,1,14,1
108,0111,07,1,16,2
108,0111,07,1,17,5
108,0111,07,1,18,3
108,0111,07,1,19,7
108,0111,07,1,20,2
108,0111,07,1,21,7
108,0111,07,1,22,3
108,0111,07,1,23,3
108,0111,07,1,24,1
108,0111,07,2,14,1
108,0111,07,2,15,1
108,0111,07,2,16,2
108,0111,07,2,17,2
108,0111,07,2,18,5
108,0111,07,2,19,2
108,0111,07,2,20,3
108,0111,07,2,22,4
108,0111,07,2,23,2
108,0111,07,2,25,2
108,0111,08,1,13,1
108,0111,08,1,17,3
108,0111,08,1,18,4
108,0111,08,1,19,7
108,0111,08,1,20,2
108,0111,08,1,21,4
108,0111,08,1,22,5
108,0111,08,1,23,3
108,0111,08,1,24,1
108,0111,08,2,17,1
108,0111,08,2,18,2
108,0111,08,2,19,1
108,0111,08,2,20,3
108,0111,08,2,21,9
108,0111,08,2,22,2
108,0111,08,2,23,4
108,0111,08,2,24,1
108,0111,09,1,17,1
108,0111,09,1,19,1
108,0111,09,1,22,1
108,0111,09,1,25,1
108,0111,09,2,21,1
108,0111,09,2,23,1
108,0111,10,1,17,2
108,0111,10,1,18,3
108,0111,10,1,19,1
108,0111,10,1,20,2
108,0111,10,1,22,1
108,0111,10,1,23,2
108,0111,10,1,24,1
108,0111,10,2,15,1
108,0111,10,2,17,3
108,0111,10,2,18,5
108,0111,10,2,19,1
108,0111,10,2,21,1
108,0111,10,2,22,4
108,0111,12,1,17,1
108,0111,13,1,15,1
108,0111,13,1,16,1
108,0111,13,1,17,4
108,0111,13,1,18,7
108,0111,13,1,19,11
108,0111,13,1,20,5
108,0111,13,1,21,8
108,0111,13,1,22,4
108,0111,13,1,23,8
108,0111,13,1,24,3
108,0111,13,2,16,1
108,0111,13,2,17,6
108,0111,13,2,18,6
108,0111,13,2,19,4
108,0111,13,2,20,5
108,0111,13,2,21,4
108,0111,13,2,22,2
108,0111,13,2,23,2
108,0111,13,2,24,1
108,0111,15,1,16,1
108,0111,15,1,23,1
108,0111,16,1,19,1
